X,Y,y1,y2,y3,y4,y5,y6,y7,y8
1877.05,2184.51,1878.97,2228.55,1880.88,2229.34,1882.79,2215.85,,
1884.71,2216.43,1886.62,2202.09,1888.53,2194.29,1890.45,2203.39,,
1892.36,2173.64,1894.27,2205,1896.19,2189.84,1898.1,2192,1900.01,2148.94
1901.93,2161.27,1903.84,2178.76,1905.75,2127.03,1907.67,2137.02,,
1909.58,2126.21,1911.49,2151.51,1913.41,2128.96,1915.32,2129.5,1917.23,2142.29
1919.15,2133.66,1921.06,2130.27,1922.97,2126.4,1924.89,2131.38,1926.8,2127.38
1928.71,2110.02,1930.63,2128.46,1932.54,2138.35,1934.45,2112.07,,
1936.37,2106.61,1938.28,2097.85,1940.19,2102.45,1942.11,2114,1944.02,2094.12
1945.93,2103.37,1947.85,2094.49,1949.76,2110.61,1951.67,2085.84,,
1953.59,2079.36,1955.5,2082.91,1957.41,2081.25,1959.33,2072.09,1961.24,2067.31
1963.15,2065.29,1965.07,2054.83,1966.98,2068.25,1968.89,2013.19,,
1970.81,2029.66,1972.72,2022.42,1974.63,2076.88,1976.55,2063.89,1978.46,2062.8
1980.37,2040.61,1982.29,2028.52,1984.2,2063.94,1986.11,2022.44,1988.03,2041.04
1989.94,2013.08,1991.86,2039.99,1993.77,2025.41,1995.68,2046.23,1997.6,1992.19
1999.51,2025.59,2001.42,2020.98,2003.34,2004.68,2005.25,2012.72,,
2007.16,2009.51,2009.08,2022.68,2010.99,1988.91,2012.9,2027.13,2014.82,1967.62
2016.73,2014.74,2018.64,1977.51,2020.56,1976.6,2022.47,2019.27,2024.38,2019.09
2026.3,2003.14,2028.21,1991.03,2030.12,1995.63,2032.04,2007.28,2033.95,2018.73
2035.86,2048.98,2037.78,2012.46,2039.69,2045.27,2041.6,2009.19,2043.52,2000.81
2045.43,2010.58,2047.34,2018.12,2049.26,1985.05,2051.17,1982.77,,
2053.08,1993.82,2055,2022.94,2056.91,1964.99,2058.82,1996.98,2060.74,1957.88
2062.65,1998.08,2064.56,1989.2,2066.48,1960.3,2068.39,1954.64,2070.3,1980.88
2072.22,1985.03,2074.13,2001.16,2076.04,1943.35,2077.96,1994.11,,
2079.87,2000.43,2081.78,1951.75,2083.7,1971.43,2085.61,1990.13,2087.52,1972.45
2089.44,2018.21,2091.35,1999.35,2093.26,1993.89,2095.18,1978.3,2097.09,2001.08
2099,1971.95,2100.92,1994.52,2102.83,2038.52,2104.74,1989.63,2106.66,2012.97
2108.57,2039.6,2110.48,2014.66,2112.4,1994.55,2114.31,2022.9,2116.22,2036.51
2118.14,2068.35,2120.05,2031.91,2121.97,2048.43,2123.88,2078.27,,
2125.79,2062.49,2127.71,2067.22,2129.62,2061.59,2131.53,2053.81,,
2133.45,2052.47,2135.36,2082.46,2137.27,2048.5,2139.19,2060.09,2141.1,2074.6
2143.01,2064.01,2144.93,2084.41,2146.84,2083.37,2148.75,2091.37,,
2150.67,2110.89,2152.58,2106.11,2154.49,2124.43,2156.41,2142.54,,
2158.32,2096.49,2160.23,2108.76,2162.15,2131.53,2164.06,2166.5,2165.97,2138.39
2167.89,2150,2169.8,2168.71,2171.71,2195.16,2173.63,2212.15,2175.54,2178.63
2177.45,2231.19,2179.37,2219.87,2181.28,2212.2,2183.19,2214.32,2185.11,2232.62
2187.02,2259.65,2188.93,2254.05,2190.85,2247.13,2192.76,2268.56,,
2194.67,2273.16,2196.59,2279.35,2198.5,2281.34,2200.41,2264.22,2202.33,2283.63
2204.24,2287.39,2206.15,2287.84,2208.07,2317.43,2209.98,2314.15,,
2211.89,2294.64,2213.81,2323.7,2215.72,2351.63,2217.63,2357.14,2219.55,2342.95
2221.46,2336.11,2223.37,2332.99,2225.29,2347.25,2227.2,2366.02,2229.11,2384.83
2231.03,2374.32,2232.94,2371.76,2234.85,2375.43,2236.77,2388.38,,
2238.68,2405.78,2240.59,2411.15,2242.51,2410.93,2244.42,2414.4,2246.33,2434.02
2248.25,2459.69,2250.16,2451.35,2252.07,2464.77,2253.99,2479.91,2255.9,2485.09
2257.81,2461.28,2259.73,2494.63,2261.64,2500.65,2263.56,2500.62,,
2265.47,2499.55,2267.38,2515.87,2269.3,2511.89,2271.21,2510.26,2273.12,2502.16
2275.04,2534.16,2276.95,2513.2,2278.86,2529.96,2280.78,2552.89,2282.69,2534.55
2284.6,2557.6,2286.52,2580.14,2288.43,2587.41,2290.34,2587.78,2292.26,2566.2
2294.17,2557.49,2296.08,2565.37,2298,2571.43,2299.91,2569.53,2301.82,2592.48
2303.74,2573.46,2305.65,2592.63,2307.56,2601.53,2309.48,2598.67,,
2311.39,2613.94,2313.3,2639.22,2315.22,2650.59,2317.13,2617.19,2319.04,2612.63
2320.96,2638.11,2322.87,2622.9,2324.78,2614.25,2326.7,2615.14,2328.61,2664.98
2330.52,2657.47,2332.44,2648.6,2334.35,2650.82,2336.26,2642.91,2338.18,2636.03
2340.09,2629.35,2342,2637.54,2343.92,2655.16,2345.83,2647.45,2347.74,2693.28
2349.66,2654.77,2351.57,2680.72,2353.48,2666.26,2355.4,2697.01,2357.31,2667.46
2359.22,2689.36,2361.14,2677.64,2363.05,2653.51,2364.96,2657.69,,
2366.88,2716.37,2368.79,2680.1,2370.7,2724.76,2372.62,2702.95,2374.53,2713.61
2376.44,2716.34,2378.36,2728.06,2380.27,2709.26,2382.18,2723.16,2384.1,2710.13
2386.01,2704.87,2387.93,2741.32,2389.84,2750.62,2391.75,2750.19,,
2393.67,2747.41,2395.58,2736.24,2397.49,2731.68,2399.41,2743.87,2401.32,2772.5
2403.23,2762.46,2405.15,2738.88,2407.06,2751.09,2408.97,2731.34,,
2410.89,2777.36,2412.8,2812.55,2414.71,2768.55,2416.63,2758.43,2418.54,2764.4
2420.45,2804.03,2422.37,2750.31,2424.28,2784.12,2426.19,2739.21,,
2428.11,2791.73,2430.02,2841.64,2431.93,2797.77,2433.85,2812.4,2435.76,2816.38
2437.67,2813.15,2439.59,2809.6,2441.5,2846.6,2443.41,2848.02,2445.33,2838.51
2447.24,2857.48,2449.15,2866.47,2451.07,2856.2,2452.98,2876.58,2454.89,2866.01
2456.81,2865.9,2458.72,2834.48,2460.63,2864.09,2462.55,2869.15,2464.46,2879.18
2466.37,2864.94,2468.29,2864.18,2470.2,2893.99,2472.11,2865.69,2474.03,2859.21
2475.94,2869.15,2477.85,2863.29,2479.77,2877.43,2481.68,2885.86,2483.59,2913.4
2485.51,2923.86,2487.42,2906.56,2489.33,2879.38,2491.25,2920.42,,
2493.16,2890.18,2495.07,2875.54,2496.99,2913.24,2498.9,2874.93,2500.81,2861.26
2502.73,2936.39,2504.64,2891.18,2506.55,2932.64,2508.47,2926.87,,
2510.38,2959.35,2512.29,2967.2,2514.21,2946.06,2516.12,2949.72,2518.03,2981.9
2519.95,2979.72,2521.86,3021.6,2523.77,2999.39,2525.69,3026.98,2527.6,3027.52
2529.52,3021.7,2531.43,3044.11,2533.34,3033.47,2535.26,3049.19,2537.17,3065.37
2539.08,3073.2,2541,3103.76,2542.91,3090.85,2544.82,3061.08,2546.74,3063.78
2548.65,3068.56,2550.56,3109.43,2552.48,3060.62,2554.39,3088.68,2556.3,3083.58
2558.22,3113.96,2560.13,3081.46,2562.04,3071.32,2563.96,3085.9,2565.87,3101.69
2567.78,3078.61,2569.7,3021.91,2571.61,3047.81,2573.52,3065.08,2575.44,3069.83
2577.35,3118.36,2579.26,3108.41,2581.18,3113.61,2583.09,3122.09,2585,3163.03
2586.92,3183.54,2588.83,3167.23,2590.74,3127.53,2592.66,3184.67,,
2594.57,3201.82,2596.48,3211.28,2598.4,3216.47,2600.31,3230.91,2602.22,3239.26
